ID, Time, Condition, ROI_Average, P7, TP7, CP5
1,434.869739,1,-3.230673,0.456218,-5.166003,-4.982234
1,436.873747,1,-3.314857,0.396331,-5.360095,-4.980808
1,438.877756,1,-3.337578,0.389523,-5.586567,-4.815691
1,440.881764,1,-3.300783,0.436609,-5.792705,-4.546251
1,442.885772,1,-3.237738,0.505918,-5.958697,-4.260434
1,444.889780,1,-3.162955,0.592320,-6.100115,-3.981070
1,446.893788,1,-3.077845,0.716372,-6.237231,-3.712675
1,448.897796,1,-2.989710,0.860489,-6.371308,-3.458312
1,450.901804,1,-2.848412,1.039408,-6.455899,-3.128746
1,452.905812,1,-2.626146,1.266432,-6.436416,-2.708454
1,454.909820,1,-2.379919,1.493002,-6.302173,-2.330585
1,456.913828,1,-2.163223,1.684807,-6.096517,-2.077958
1,458.917836,1,-2.039131,1.805446,-5.919156,-2.003683
1,460.921844,1,-2.035659,1.827157,-5.806707,-2.127429
1,462.925852,1,-2.069146,1.799014,-5.694748,-2.311703
1,464.929860,1,-2.085826,1.768573,-5.570516,-2.455535
1,466.933868,1,-2.076243,1.774864,-5.461830,-2.541763
1,468.937876,1,-1.998989,1.862188,-5.352838,-2.506318
1,470.941884,1,-1.896376,1.969064,-5.245452,-2.412739
1,472.945892,1,-1.864547,1.998334,-5.183840,-2.408136
1,474.949900,1,-1.902808,1.945522,-5.175652,-2.478295
1,476.953908,1,-1.980283,1.826370,-5.191504,-2.575715
1,478.957916,1,-2.074007,1.686137,-5.227382,-2.680777
1,480.961924,1,-2.114855,1.631974,-5.262632,-2.713906
1,482.965932,1,-2.112776,1.661984,-5.288612,-2.711699
1,484.969940,1,-2.137230,1.687392,-5.338331,-2.760751
1,486.973948,1,-2.163015,1.704082,-5.399081,-2.794047
1,488.977956,1,-2.174326,1.706166,-5.447210,-2.781935
1,490.981964,1,-2.205689,1.653434,-5.488117,-2.782383
1,492.985972,1,-2.246124,1.570922,-5.502691,-2.806602
1,494.989980,1,-2.285611,1.500931,-5.484098,-2.873666
1,496.993988,1,-2.347151,1.453814,-5.486254,-3.009014
1,498.997996,1,-2.419609,1.443673,-5.548316,-3.154185
1,501.002004,1,-2.459449,1.483303,-5.642057,-3.219592
1,503.006012,1,-2.454306,1.546207,-5.738284,-3.170841
1,505.010020,1,-2.450869,1.573987,-5.871525,-3.055070
1,507.014028,1,-2.490042,1.556076,-6.092992,-2.933209
1,509.018036,1,-2.550843,1.535758,-6.379543,-2.808743
1,511.022044,1,-2.585224,1.560225,-6.663980,-2.651917
1,513.026052,1,-2.601921,1.624166,-6.926149,-2.503780
1,515.030060,1,-2.633434,1.695561,-7.154709,-2.441153
1,517.034068,1,-2.648882,1.786471,-7.301447,-2.431671
1,519.038076,1,-2.577376,1.944657,-7.345843,-2.330940
1,521.042084,1,-2.392561,2.199172,-7.317375,-2.059480
1,523.046092,1,-2.162425,2.504484,-7.253738,-1.738021
1,525.050100,1,-1.980814,2.782168,-7.189541,-1.535070
1,527.054108,1,-1.863428,3.012905,-7.146702,-1.456486
1,529.058116,1,-1.792252,3.183548,-7.125207,-1.435097
1,531.062124,1,-1.758054,3.267539,-7.099477,-1.442224
1,533.066132,1,-1.693851,3.318288,-7.007274,-1.392568
1,535.070140,1,-1.548034,3.380651,-6.818489,-1.206265
1,537.074148,1,-1.355243,3.435473,-6.571015,-0.930186
1,539.078156,1,-1.175308,3.471578,-6.326204,-0.671299
1,541.082164,1,-1.037556,3.493022,-6.134798,-0.470890
1,543.086172,1,-0.907583,3.523425,-5.988858,-0.257314
1,545.090180,1,-0.750665,3.570607,-5.842661,0.020060
1,547.094188,1,-0.586151,3.600573,-5.667365,0.308339
1,549.098196,1,-0.427852,3.577392,-5.441081,0.580132
1,551.102204,1,-0.274287,3.492952,-5.183654,0.867841
1,553.106212,1,-0.165309,3.336409,-4.979286,1.146949
1,555.110220,1,-0.133465,3.116663,-4.878811,1.361754
1,557.114228,1,-0.150870,2.898560,-4.844294,1.493124
1,559.118236,1,-0.184466,2.739314,-4.822791,1.530078
1,561.122244,1,-0.226596,2.644337,-4.781169,1.457044
1,563.126253,1,-0.306249,2.553584,-4.705003,1.232671
1,565.130261,1,-0.406622,2.446920,-4.593400,0.926614
1,567.134269,1,-0.390347,2.440969,-4.421275,0.809267
1,569.138277,1,-0.207058,2.576841,-4.190900,0.992885
1,571.142285,1,0.059620,2.770788,-3.929306,1.337379
1,573.146293,1,0.337180,2.960837,-3.657957,1.708660
1,575.150301,1,0.578608,3.124390,-3.421083,2.032516
1,577.154309,1,0.755344,3.239157,-3.223177,2.250051
1,579.158317,1,0.878194,3.295252,-3.021358,2.360689
1,581.162325,1,0.954058,3.275250,-2.822293,2.409218
1,583.166333,1,0.979984,3.150240,-2.669276,2.458989
1,585.170341,1,0.969422,2.927291,-2.587413,2.568387
1,587.174349,1,0.904190,2.663671,-2.583131,2.632031
1,589.178357,1,0.699616,2.408240,-2.673958,2.364565
1,591.182365,1,0.335664,2.179554,-2.864463,1.691902
1,593.186373,1,-0.079833,1.978647,-3.074657,0.856511
1,595.190381,1,-0.400480,1.828316,-3.200641,0.170885
1,597.194389,1,-0.590028,1.710963,-3.243403,-0.237643
1,599.198397,1,-0.693832,1.602941,-3.261599,-0.422838
1,601.202405,1,-0.730070,1.529879,-3.270866,-0.449222
1,603.206413,1,-0.673936,1.523343,-3.229744,-0.315406
1,605.210421,1,-0.511883,1.610862,-3.117355,-0.029156
